Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3DS,Medio,Action,Marvelous Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Medio,Strategy,Ubisoft,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Sports,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Racing,Genki,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Action,Activision,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Antigo,Racing,Codemasters,Baixissimo,Baixo,Baixissimo,Baixissimo,Baixo
N64,Muito antigo,Platform,Hasbro Interactive,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Racing,THQ,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Novo,Adventure,Mojang,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
XB,Novo,Misc,Unknown,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Medio,Role-Playing,Activision,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
DS,Medio,Shooter,Activision,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
SNES,Muito antigo,Simulation,Hudson Soft,Baixissimo,Baixissimo,Baixo,Baixissimo,Baixo
XB,Antigo,Misc,Sega,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Misc,Activision,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
XOne,Novo,Role-Playing,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Action,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Sports,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Novo,Misc,Unknown,Baixissimo,Baixissimo,Baixo,Baixissimo,Baixo
SNES,Muito antigo,Racing,ASCII Entertainment,Baixissimo,Baixissimo,Baixo,Baixissimo,Baixo
PS2,Antigo,Sports,Sony Computer Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Shooter,Sony Computer Entertainment,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Racing,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Misc,Sony Computer Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Sports,Atari,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Muito antigo,Racing,Psygnosis,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
DS,Medio,Puzzle,Midway Games,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Novo,Shooter,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Muito antigo,Action,989 Studios,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Medio,Sports,Sony Computer Entertainment,Baixissimo,Baixissimo,Baixo,Baixissimo,Baixo
XB,Antigo,Platform,Sega,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PSP,Medio,Shooter,Sony Computer Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Sports,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
DS,Medio,Action,LucasArts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
N64,Muito antigo,Sports,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Medio,Platform,Activision,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
XB,Antigo,Shooter,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Misc,Sega,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PC,Novo,Role-Playing,Bethesda Softworks,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Racing,Disney Interactive Studios,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Sports,Electronic Arts,Baixissimo,Baixo,Baixissimo,Baixissimo,Baixo
DS,Medio,Role-Playing,Nintendo,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Action,Sony Computer Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
XB,Antigo,Role-Playing,Activision,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
XB,Antigo,Sports,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Sports,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Medio,Sports,THQ,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
GBA,Antigo,Platform,Activision,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Shooter,Ubisoft,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PSP,Medio,Shooter,Sony Computer Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Sports,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Sports,Unknown,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS4,Novo,Action,Warner Bros Interactive Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
GBA,Antigo,Platform,Konami Digital Entertainment,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
DS,Medio,Role-Playing,Sega,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Sports,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
GBA,Antigo,Adventure,Nintendo,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Platform,Sony Computer Entertainment,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
GBA,Antigo,Strategy,Nintendo,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
GB,Antigo,Strategy,Nintendo,Baixissimo,Baixissimo,Baixo,Baixissimo,Baixo
GC,Antigo,Action,THQ,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Adventure,Ubisoft,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Muito antigo,Simulation,Sony Computer Entertainment,Baixissimo,Baixissimo,Baixo,Baixissimo,Baixo
Wii,Medio,Racing,Codemasters,Baixissimo,Baixo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Sports,Sega,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS4,Novo,Sports,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PSP,Medio,Fighting,Square Enix,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
3DS,Novo,Action,Warner Bros Interactive Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Medio,Racing,Codemasters,Baixissimo,Baixo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Racing,Ubisoft,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PC,Medio,Shooter,Activision,Baixissimo,Baixo,Baixissimo,Baixissimo,Baixo
WiiU,Novo,Sports,Nintendo,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Medio,Role-Playing,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Shooter,Activision,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Antigo,Sports,Sony Computer Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Medio,Misc,Sony Computer Entertainment,Baixissimo,Baixo,Baixissimo,Baixissimo,Baixo
SNES,Muito antigo,Role-Playing,SquareSoft,Baixissimo,Baixissimo,Baixo,Baixissimo,Baixo
PS,Muito antigo,Platform,Capcom,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Medio,Fighting,THQ,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Medio,Action,Square Enix,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PC,Medio,Action,Take-Two Interactive,Baixissimo,Baixo,Baixissimo,Baixissimo,Baixo
DS,Medio,Misc,Pinnacle,Baixissimo,Baixo,Baixissimo,Baixissimo,Baixo
X360,Medio,Misc,Ubisoft,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Action,Atari,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Medio,Misc,MTV Games,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
3DS,Medio,Action,Capcom,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Action,Take-Two Interactive,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Medio,Misc,Sony Computer Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Simulation,Nintendo,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Muito antigo,Shooter,CTO SpA,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
XOne,Novo,Action,Square Enix,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PSP,Antigo,Strategy,Konami Digital Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Simulation,505 Games,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Fighting,Namco Bandai Games,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Sports,Global Star,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Medio,Racing,Codemasters,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PSP,Medio,Role-Playing,Sega,Baixissimo,Baixissimo,Baixo,Baixissimo,Baixo
XB,Antigo,Simulation,Microsoft Game Studios,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Antigo,Shooter,TalonSoft,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Muito antigo,Platform,Crystal Dynamics,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
XOne,Novo,Sports,Take-Two Interactive,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Medio,Racing,Codemasters,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
SNES,Muito antigo,Sports,ASCII Entertainment,Baixissimo,Baixissimo,Baixo,Baixissimo,Baixo
Wii,Medio,Sports,Ubisoft,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Medio,Shooter,THQ,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
XB,Antigo,Shooter,Ubisoft,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Shooter,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Muito antigo,Racing,Infogrames,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Medio,Role-Playing,Square Enix,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Puzzle,THQ,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Action,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Role-Playing,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Muito antigo,Sports,Sony Computer Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Sports,Sega,Baixissimo,Baixo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Shooter,Sega,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Medio,Sports,Activision,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS4,Novo,Fighting,Warner Bros Interactive Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Muito antigo,Sports,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PSP,Medio,Misc,Sony Computer Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Medio,Shooter,Ubisoft,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Fighting,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
DS,Medio,Misc,Disney Interactive Studios,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
DS,Medio,Action,Warner Bros Interactive Entertainment,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
XB,Antigo,Shooter,SCi,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Sports,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Antigo,Role-Playing,Crave Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PSP,Medio,Puzzle,Sony Computer Entertainment,Baixissimo,Baixo,Baixissimo,Baixissimo,Baixo
PS2,Medio,Action,Tecmo Koei,Baixissimo,Baixissimo,Baixo,Baixissimo,Baixo
X360,Medio,Misc,Activision,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
?,Muito antigo,Misc,Quelle,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Role-Playing,Namco Bandai Games,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Medio,Misc,Sony Computer Entertainment,Baixissimo,Baixo,Baixissimo,Baixissimo,Baixo
3DS,Novo,Action,mixiInc,Baixissimo,Baixissimo,Baixo,Baixissimo,Baixo
Wii,Medio,Action,Eidos Interactive,Baixissimo,Baixo,Baixissimo,Baixissimo,Baixo
PSP,Medio,Sports,Konami Digital Entertainment,Baixissimo,Baixo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Action,THQ,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Action,Sony Computer Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
DS,Medio,Role-Playing,Square Enix,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Novo,Action,Warner Bros Interactive Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Fighting,Rage Software,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
3DS,Novo,Role-Playing,Square Enix,Baixissimo,Baixissimo,Baixo,Baixissimo,Baixo
PS,Antigo,Racing,Empire Interactive,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
N64,Muito antigo,Sports,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Muito antigo,Sports,Sony Computer Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Fighting,Atari,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Novo,Action,Warner Bros Interactive Entertainment,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
DS,Medio,Platform,Nintendo,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Medio,Sports,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Action,Tecmo Koei,Baixissimo,Baixissimo,Baixo,Baixissimo,Baixo
PS3,Medio,Action,Ubisoft Annecy,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Novo,Racing,Microsoft Game Studios,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Sports,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
DS,Medio,Sports,Electronic Arts,Baixissimo,Baixo,Baixissimo,Baixissimo,Baixo
PS,Muito antigo,Action,3DO,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Racing,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Sports,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Medio,Sports,Take-Two Interactive,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
XOne,Novo,Action,Ubisoft,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Muito antigo,Fighting,Virgin Interactive,Baixissimo,Baixissimo,Baixo,Baixissimo,Baixo
XB,Antigo,Sports,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Shooter,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Simulation,Ubisoft,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
NES,Muito antigo,Platform,Konami Digital Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
DS,Medio,Action,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Muito antigo,Action,GT Interactive,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PSP,Antigo,Racing,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Novo,Sports,Take-Two Interactive,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
XOne,Novo,Shooter,Activision,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Medio,Action,THQ,Baixissimo,Baixissimo,Baixissimo,Baixo,Baixo
PS,Muito antigo,Sports,Sony Computer Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Racing,Acclaim Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
3DS,Novo,Action,Nintendo,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Fighting,Virgin Interactive,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Misc,Konami Digital Entertainment,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Medio,Shooter,505 Games,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS4,Novo,Action,Square Enix,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
GC,Antigo,Action,Activision,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
DS,Medio,Role-Playing,Nintendo,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Sports,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Action,Capcom,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS4,Novo,Action,Sony Computer Entertainment,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Sports,Take-Two Interactive,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
WiiU,Novo,Role-Playing,Nintendo,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
DS,Medio,Simulation,Ubisoft,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
GC,Antigo,Action,THQ,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Sports,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Action,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Racing,Acclaim Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Simulation,Rising Star Games,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
NES,Muito antigo,Role-Playing,SquareSoft,Baixissimo,Baixissimo,Baixo,Baixissimo,Baixo
PS3,Medio,Fighting,Capcom,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Antigo,Sports,THQ,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Medio,Shooter,Take-Two Interactive,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Racing,Empire Interactive,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS4,Novo,Shooter,Take-Two Interactive,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Role-Playing,Sony Computer Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Sports,Sega,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
GBA,Antigo,Adventure,Nintendo,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PSV,Novo,Sports,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Shooter,Namco Bandai Games,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Medio,Action,D3Publisher,Baixissimo,Baixissimo,Baixissimo,Baixo,Baixo
X360,Novo,Racing,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Muito antigo,Puzzle,Atari,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Fighting,THQ,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Muito antigo,Simulation,Sony Computer Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Action,THQ,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
DS,Medio,Strategy,Ubisoft,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PSP,Novo,Sports,Unknown,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
GBA,Antigo,Action,Disney Interactive Studios,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PSV,Novo,Shooter,Take-Two Interactive,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Sports,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
XB,Antigo,Shooter,Microsoft Game Studios,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Medio,Misc,Microsoft Game Studios,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
GB,Antigo,Misc,Konami Digital Entertainment,Baixissimo,Baixissimo,Baixo,Baixissimo,Baixo
PS,Muito antigo,Misc,Unknown,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Muito antigo,Adventure,Capcom,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Sports,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Platform,Sony Computer Entertainment,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Misc,Ubisoft,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Medio,Strategy,Take-Two Interactive,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Novo,Sports,Unknown,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
DS,Medio,Puzzle,Scholastic Inc,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Action,Activision,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Fighting,Namco Bandai Games,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Muito antigo,Platform,Sony Computer Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Muito antigo,Adventure,Interplay,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Sports,Hudson Soft,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
XB,Antigo,Shooter,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
XOne,Novo,Sports,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PSP,Antigo,Sports,Activision,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
GC,Antigo,Sports,Activision,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Medio,Role-Playing,Activision,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Action,LucasArts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Medio,Misc,Activision,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS4,Novo,Fighting,Capcom,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
XB,Antigo,Racing,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
NES,Muito antigo,Puzzle,Nintendo,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
N64,Muito antigo,Fighting,Nintendo,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
XB,Antigo,Sports,Microsoft Game Studios,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
?,Muito antigo,Action,Mystique,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PSP,Antigo,Adventure,Sony Computer Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Novo,Action,Capcom,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
3DS,Medio,Role-Playing,Namco Bandai Games,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Platform,THQ,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Misc,Activision,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Misc,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Novo,Sports,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Medio,Shooter,Midway Games,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
DS,Medio,Simulation,Ubisoft,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Medio,Role-Playing,Atlus,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Misc,Sony Computer Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
X360,Novo,Sports,Ubisoft,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS4,Novo,Sports,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS3,Medio,Action,Sony Computer Entertainment,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
GB,Antigo,Role-Playing,Enix Corporation,Baixissimo,Baixissimo,Baixo,Baixissimo,Baixo
DS,Medio,Action,Disney Interactive Studios,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS2,Antigo,Fighting,Midway Games,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
SNES,Muito antigo,Adventure,ChunSoft,Baixissimo,Baixissimo,Baixo,Baixissimo,Baixo
PSP,Medio,Misc,Sony Computer Entertainment,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Antigo,Role-Playing,Namco Bandai Games,Baixissimo,Baixissimo,Baixo,Baixissimo,Baixo
SNES,Muito antigo,Puzzle,Hudson Soft,Baixissimo,Baixissimo,Baixo,Baixissimo,Baixo
PS,Antigo,Racing,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
Wii,Medio,Sports,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
GC,Antigo,Action,Nintendo,Baixo,Baixissimo,Baixissimo,Baixissimo,Baixo
PS,Muito antigo,Sports,Konami Digital Entertainment,Baixissimo,Baixissimo,Baixo,Baixissimo,Baixo
PS4,Novo,Misc,Activision,Baixissimo,Baixissimo,Baixissimo,Baixissimo,Baixo
